model,grid,t0,dense_ece,dense_n,sparse_ece,sparse_n,delta
T-KT,Main (20/100/500),20,0.1135585221010694,523971.25,0.22803198692193266,415.25,0.11447346482086326
T-KT,Alt-1 (10/50/250),10,0.11376391778800449,528521.5,0.23971683669897542,303.25,0.12595291891097093
T-KT,Alt-2 (30/150/750),30,0.11345564166862905,522485.25,0.21837802816869245,685.25,0.1049223865000634
DKT,Main (20/100/500),20,0.06023880202426484,523971.25,0.23328866958437133,415.25,0.17304986756010649
DKT,Alt-1 (10/50/250),10,0.06103112635076387,528521.5,0.2462815261887083,303.25,0.18525039983794445
DKT,Alt-2 (30/150/750),30,0.060017096431122685,522485.25,0.20870940667079166,685.25,0.14869231023966897
